"REF_DATE","GEO","DGUID","Household contributions to registered savings accounts (18)","Selected household characteristics (30)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Windsor (CMA), Ont.","2021S0503559","Total - Household contributions to registered savings accounts","Total - Age of major income earner in the household","","0","units","0","","102.1.17","165665","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Total - Household contributions to registered savings accounts","15 to 24 years","","0","units","0","","102.1.18","4900","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Total - Household contributions to registered savings accounts","25 to 34 years","","0","units","0","","102.1.19","23310","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Total - Household contributions to registered savings accounts","35 to 44 years","","0","units","0","","102.1.20","27065","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Total - Household contributions to registered savings accounts","45 to 54 years","","0","units","0","","102.1.21","30775","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Total - Household contributions to registered savings accounts","55 to 70 years","","0","units","0","","102.1.22","49950","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Total - Household contributions to registered savings accounts","71 years and over","","0","units","0","","102.1.23","29665","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Total - Household contributions to registered savings accounts","Total - Households by household size","","0","units","0","","102.1.24","165665","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Total - Household contributions to registered savings accounts","1 person","","0","units","0","","102.1.25","46455","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Total - Household contributions to registered savings accounts","2 or more persons","","0","units","0","","102.1.26","119210","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Total - Household contributions to registered savings accounts","2 persons","","0","units","0","","102.1.27","55140","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Total - Household contributions to registered savings accounts","3 persons","","0","units","0","","102.1.28","24620","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Total - Household contributions to registered savings accounts","4 persons","","0","units","0","","102.1.29","23110","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Total - Household contributions to registered savings accounts","5 or more persons","","0","units","0","","102.1.30","16340","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","No contributions to any registered savings accounts","Total - After-tax income of household ","","0","units","0","","102.2.1","60495","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","No contributions to any registered savings accounts","Under $10,000","","0","units","0","","102.2.2","2180","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","No contributions to any registered savings accounts","$10,000 to $19,999","","0","units","0","","102.2.3","4635","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","No contributions to any registered savings accounts","$20,000 to $29,999","","0","units","0","","102.2.4","9300","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","No contributions to any registered savings accounts","$30,000 to $39,999","","0","units","0","","102.2.5","8435","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","No contributions to any registered savings accounts","$40,000 to $49,999","","0","units","0","","102.2.6","7995","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","No contributions to any registered savings accounts","$50,000 to $59,999","","0","units","0","","102.2.7","7045","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","No contributions to any registered savings accounts","$60,000 to $69,999","","0","units","0","","102.2.8","5625","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","No contributions to any registered savings accounts","$70,000 to $79,999","","0","units","0","","102.2.9","4340","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","No contributions to any registered savings accounts","$80,000 to $89,999","","0","units","0","","102.2.10","3110","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","No contributions to any registered savings accounts","$90,000 to $99,999","","0","units","0","","102.2.11","2240","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","No contributions to any registered savings accounts","$100,000 and over ","","0","units","0","","102.2.12","5585","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","No contributions to any registered savings accounts","$100,000 to $149,999","","0","units","0","","102.2.13","4235","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","No contributions to any registered savings accounts","$150,000 to $199,999","","0","units","0","","102.2.14","870","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","No contributions to any registered savings accounts","$200,000 to $249,999","","0","units","0","","102.2.15","245","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","No contributions to any registered savings accounts","$250,000 and over","","0","units","0","","102.2.16","235","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","No contributions to any registered savings accounts","Total - Age of major income earner in the household","","0","units","0","","102.2.17","60495","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","No contributions to any registered savings accounts","15 to 24 years","","0","units","0","","102.2.18","2660","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","No contributions to any registered savings accounts","25 to 34 years","","0","units","0","","102.2.19","8055","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","No contributions to any registered savings accounts","35 to 44 years","","0","units","0","","102.2.20","8165","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","No contributions to any registered savings accounts","45 to 54 years","","0","units","0","","102.2.21","7950","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","No contributions to any registered savings accounts","55 to 70 years","","0","units","0","","102.2.22","17405","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","No contributions to any registered savings accounts","71 years and over","","0","units","0","","102.2.23","16260","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","No contributions to any registered savings accounts","Total - Households by household size","","0","units","0","","102.2.24","60495","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","No contributions to any registered savings accounts","1 person","","0","units","0","","102.2.25","24730","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","No contributions to any registered savings accounts","2 or more persons","","0","units","0","","102.2.26","35760","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","No contributions to any registered savings accounts","2 persons","","0","units","0","","102.2.27","19765","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","No contributions to any registered savings accounts","3 persons","","0","units","0","","102.2.28","6455","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","No contributions to any registered savings accounts","4 persons","","0","units","0","","102.2.29","4660","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","No contributions to any registered savings accounts","5 or more persons","","0","units","0","","102.2.30","4880","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Contributed to at least one type of registered savings account","Total - After-tax income of household ","","0","units","0","","102.3.1","105170","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Contributed to at least one type of registered savings account","Under $10,000","","0","units","0","","102.3.2","480","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Contributed to at least one type of registered savings account","$10,000 to $19,999","","0","units","0","","102.3.3","945","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Contributed to at least one type of registered savings account","$20,000 to $29,999","","0","units","0","","102.3.4","3190","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Contributed to at least one type of registered savings account","$30,000 to $39,999","","0","units","0","","102.3.5","5065","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Contributed to at least one type of registered savings account","$40,000 to $49,999","","0","units","0","","102.3.6","7255","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Contributed to at least one type of registered savings account","$50,000 to $59,999","","0","units","0","","102.3.7","8115","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Contributed to at least one type of registered savings account","$60,000 to $69,999","","0","units","0","","102.3.8","8425","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Contributed to at least one type of registered savings account","$70,000 to $79,999","","0","units","0","","102.3.9","8585","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Contributed to at least one type of registered savings account","$80,000 to $89,999","","0","units","0","","102.3.10","8720","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Contributed to at least one type of registered savings account","$90,000 to $99,999","","0","units","0","","102.3.11","7955","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Contributed to at least one type of registered savings account","$100,000 and over ","","0","units","0","","102.3.12","46430","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Contributed to at least one type of registered savings account","$100,000 to $149,999","","0","units","0","","102.3.13","27190","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Contributed to at least one type of registered savings account","$150,000 to $199,999","","0","units","0","","102.3.14","11600","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Contributed to at least one type of registered savings account","$200,000 to $249,999","","0","units","0","","102.3.15","4265","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Contributed to at least one type of registered savings account","$250,000 and over","","0","units","0","","102.3.16","3370","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Contributed to at least one type of registered savings account","Total - Age of major income earner in the household","","0","units","0","","102.3.17","105170","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Contributed to at least one type of registered savings account","15 to 24 years","","0","units","0","","102.3.18","2240","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Contributed to at least one type of registered savings account","25 to 34 years","","0","units","0","","102.3.19","15255","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Contributed to at least one type of registered savings account","35 to 44 years","","0","units","0","","102.3.20","18895","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Contributed to at least one type of registered savings account","45 to 54 years","","0","units","0","","102.3.21","22825","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Contributed to at least one type of registered savings account","55 to 70 years","","0","units","0","","102.3.22","32550","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Contributed to at least one type of registered savings account","71 years and over","","0","units","0","","102.3.23","13405","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Contributed to at least one type of registered savings account","Total - Households by household size","","0","units","0","","102.3.24","105170","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Contributed to at least one type of registered savings account","1 person","","0","units","0","","102.3.25","21720","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Contributed to at least one type of registered savings account","2 or more persons","","0","units","0","","102.3.26","83450","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Contributed to at least one type of registered savings account","2 persons","","0","units","0","","102.3.27","35375","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Contributed to at least one type of registered savings account","3 persons","","0","units","0","","102.3.28","18165","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Contributed to at least one type of registered savings account","4 persons","","0","units","0","","102.3.29","18450","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Contributed to at least one type of registered savings account","5 or more persons","","0","units","0","","102.3.30","11460","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Tax-free savings accounts (TFSAs)","Total - After-tax income of household ","","0","units","0","","102.4.1","73865","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Tax-free savings accounts (TFSAs)","Under $10,000","","0","units","0","","102.4.2","420","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Tax-free savings accounts (TFSAs)","$10,000 to $19,999","","0","units","0","","102.4.3","860","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Tax-free savings accounts (TFSAs)","$20,000 to $29,999","","0","units","0","","102.4.4","2790","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Tax-free savings accounts (TFSAs)","$30,000 to $39,999","","0","units","0","","102.4.5","3930","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Tax-free savings accounts (TFSAs)","$40,000 to $49,999","","0","units","0","","102.4.6","5365","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Tax-free savings accounts (TFSAs)","$50,000 to $59,999","","0","units","0","","102.4.7","5900","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Tax-free savings accounts (TFSAs)","$60,000 to $69,999","","0","units","0","","102.4.8","5995","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Tax-free savings accounts (TFSAs)","$70,000 to $79,999","","0","units","0","","102.4.9","6015","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Tax-free savings accounts (TFSAs)","$80,000 to $89,999","","0","units","0","","102.4.10","5850","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Tax-free savings accounts (TFSAs)","$90,000 to $99,999","","0","units","0","","102.4.11","5290","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Tax-free savings accounts (TFSAs)","$100,000 and over ","","0","units","0","","102.4.12","31450","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Tax-free savings accounts (TFSAs)","$100,000 to $149,999","","0","units","0","","102.4.13","18135","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Tax-free savings accounts (TFSAs)","$150,000 to $199,999","","0","units","0","","102.4.14","7820","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Tax-free savings accounts (TFSAs)","$200,000 to $249,999","","0","units","0","","102.4.15","3015","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Tax-free savings accounts (TFSAs)","$250,000 and over","","0","units","0","","102.4.16","2475","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Tax-free savings accounts (TFSAs)","Total - Age of major income earner in the household","","0","units","0","","102.4.17","73865","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Tax-free savings accounts (TFSAs)","15 to 24 years","","0","units","0","","102.4.18","1830","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Tax-free savings accounts (TFSAs)","25 to 34 years","","0","units","0","","102.4.19","11095","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Tax-free savings accounts (TFSAs)","35 to 44 years","","0","units","0","","102.4.20","11415","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Tax-free savings accounts (TFSAs)","45 to 54 years","","0","units","0","","102.4.21","13670","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Tax-free savings accounts (TFSAs)","55 to 70 years","","0","units","0","","102.4.22","23000","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Tax-free savings accounts (TFSAs)","71 years and over","","0","units","0","","102.4.23","12855","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Tax-free savings accounts (TFSAs)","Total - Households by household size","","0","units","0","","102.4.24","73865","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Tax-free savings accounts (TFSAs)","1 person","","0","units","0","","102.4.25","15700","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Tax-free savings accounts (TFSAs)","2 or more persons","","0","units","0","","102.4.26","58165","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Tax-free savings accounts (TFSAs)","2 persons","","0","units","0","","102.4.27","26185","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Tax-free savings accounts (TFSAs)","3 persons","","0","units","0","","102.4.28","12320","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Tax-free savings accounts (TFSAs)","4 persons","","0","units","0","","102.4.29","11855","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Tax-free savings accounts (TFSAs)","5 or more persons","","0","units","0","","102.4.30","7795","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Median contribution - TFSA ($)","Total - After-tax income of household ","","0","units","0","","102.5.1","6000","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Median contribution - TFSA ($)","Under $10,000","","0","units","0","","102.5.2","6000","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Median contribution - TFSA ($)","$10,000 to $19,999","","0","units","0","","102.5.3","4000","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Median contribution - TFSA ($)","$20,000 to $29,999","","0","units","0","","102.5.4","4080","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Median contribution - TFSA ($)","$30,000 to $39,999","","0","units","0","","102.5.5","5000","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Median contribution - TFSA ($)","$40,000 to $49,999","","0","units","0","","102.5.6","5200","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Median contribution - TFSA ($)","$50,000 to $59,999","","0","units","0","","102.5.7","5320","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Median contribution - TFSA ($)","$60,000 to $69,999","","0","units","0","","102.5.8","5720","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Median contribution - TFSA ($)","$70,000 to $79,999","","0","units","0","","102.5.9","5880","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Median contribution - TFSA ($)","$80,000 to $89,999","","0","units","0","","102.5.10","6000","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Median contribution - TFSA ($)","$90,000 to $99,999","","0","units","0","","102.5.11","6000","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Median contribution - TFSA ($)","$100,000 and over ","","0","units","0","","102.5.12","6800","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Median contribution - TFSA ($)","$100,000 to $149,999","","0","units","0","","102.5.13","6000","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Median contribution - TFSA ($)","$150,000 to $199,999","","0","units","0","","102.5.14","7400","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Median contribution - TFSA ($)","$200,000 to $249,999","","0","units","0","","102.5.15","11000","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Median contribution - TFSA ($)","$250,000 and over","","0","units","0","","102.5.16","12000","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Median contribution - TFSA ($)","Total - Age of major income earner in the household","","0","units","0","","102.5.17","6000","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Median contribution - TFSA ($)","15 to 24 years","","0","units","0","","102.5.18","3440","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Median contribution - TFSA ($)","25 to 34 years","","0","units","0","","102.5.19","3800","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Median contribution - TFSA ($)","35 to 44 years","","0","units","0","","102.5.20","3880","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Median contribution - TFSA ($)","45 to 54 years","","0","units","0","","102.5.21","5120","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Median contribution - TFSA ($)","55 to 70 years","","0","units","0","","102.5.22","6000","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Median contribution - TFSA ($)","71 years and over","","0","units","0","","102.5.23","6000","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Median contribution - TFSA ($)","Total - Households by household size","","0","units","0","","102.5.24","6000","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Median contribution - TFSA ($)","1 person","","0","units","0","","102.5.25","6000","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Median contribution - TFSA ($)","2 or more persons","","0","units","0","","102.5.26","6000","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Median contribution - TFSA ($)","2 persons","","0","units","0","","102.5.27","6750","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Median contribution - TFSA ($)","3 persons","","0","units","0","","102.5.28","5360","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Median contribution - TFSA ($)","4 persons","","0","units","0","","102.5.29","5280","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Median contribution - TFSA ($)","5 or more persons","","0","units","0","","102.5.30","5000","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Registered retirement savings plans (RRSPs)","Total - After-tax income of household ","","0","units","0","","102.6.1","50890","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Registered retirement savings plans (RRSPs)","Under $10,000","","0","units","0","","102.6.2","100","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Registered retirement savings plans (RRSPs)","$10,000 to $19,999","","0","units","0","","102.6.3","105","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Registered retirement savings plans (RRSPs)","$20,000 to $29,999","","0","units","0","","102.6.4","420","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Registered retirement savings plans (RRSPs)","$30,000 to $39,999","","0","units","0","","102.6.5","1215","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Registered retirement savings plans (RRSPs)","$40,000 to $49,999","","0","units","0","","102.6.6","2120","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Registered retirement savings plans (RRSPs)","$50,000 to $59,999","","0","units","0","","102.6.7","2645","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Registered retirement savings plans (RRSPs)","$60,000 to $69,999","","0","units","0","","102.6.8","3010","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Registered retirement savings plans (RRSPs)","$70,000 to $79,999","","0","units","0","","102.6.9","3380","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Registered retirement savings plans (RRSPs)","$80,000 to $89,999","","0","units","0","","102.6.10","4010","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Registered retirement savings plans (RRSPs)","$90,000 to $99,999","","0","units","0","","102.6.11","3935","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Registered retirement savings plans (RRSPs)","$100,000 and over ","","0","units","0","","102.6.12","29955","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Registered retirement savings plans (RRSPs)","$100,000 to $149,999","","0","units","0","","102.6.13","15920","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Registered retirement savings plans (RRSPs)","$150,000 to $199,999","","0","units","0","","102.6.14","7990","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Registered retirement savings plans (RRSPs)","$200,000 to $249,999","","0","units","0","","102.6.15","3260","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Registered retirement savings plans (RRSPs)","$250,000 and over","","0","units","0","","102.6.16","2780","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Registered retirement savings plans (RRSPs)","Total - Age of major income earner in the household","","0","units","0","","102.6.17","50890","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Registered retirement savings plans (RRSPs)","15 to 24 years","","0","units","0","","102.6.18","600","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Registered retirement savings plans (RRSPs)","25 to 34 years","","0","units","0","","102.6.19","7040","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Registered retirement savings plans (RRSPs)","35 to 44 years","","0","units","0","","102.6.20","10785","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Registered retirement savings plans (RRSPs)","45 to 54 years","","0","units","0","","102.6.21","14020","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Registered retirement savings plans (RRSPs)","55 to 70 years","","0","units","0","","102.6.22","17335","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Registered retirement savings plans (RRSPs)","71 years and over","","0","units","0","","102.6.23","1100","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Registered retirement savings plans (RRSPs)","Total - Households by household size","","0","units","0","","102.6.24","50890","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Registered retirement savings plans (RRSPs)","1 person","","0","units","0","","102.6.25","7800","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Registered retirement savings plans (RRSPs)","2 or more persons","","0","units","0","","102.6.26","43095","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Registered retirement savings plans (RRSPs)","2 persons","","0","units","0","","102.6.27","15540","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Registered retirement savings plans (RRSPs)","3 persons","","0","units","0","","102.6.28","10025","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Registered retirement savings plans (RRSPs)","4 persons","","0","units","0","","102.6.29","11350","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Registered retirement savings plans (RRSPs)","5 or more persons","","0","units","0","","102.6.30","6175","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Median contribution - RRSP ($)","Total - After-tax income of household ","","0","units","0","","102.7.1","4120","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Median contribution - RRSP ($)","Under $10,000","","0","units","0","","102.7.2","6600","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Median contribution - RRSP ($)","$10,000 to $19,999","","0","units","0","","102.7.3","1100","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Median contribution - RRSP ($)","$20,000 to $29,999","","0","units","0","","102.7.4","1200","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Median contribution - RRSP ($)","$30,000 to $39,999","","0","units","0","","102.7.5","1230","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Median contribution - RRSP ($)","$40,000 to $49,999","","0","units","0","","102.7.6","1740","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Median contribution - RRSP ($)","$50,000 to $59,999","","0","units","0","","102.7.7","2100","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Median contribution - RRSP ($)","$60,000 to $69,999","","0","units","0","","102.7.8","2400","","","","0"
