,,,"Waterloo, Regional municipality [Census division], Ontario",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Age characteristics","    60 to 64 years",,   30380,,   14650,,   15730,,  846145,,  406505,,  439640,
"Age characteristics","  65 years and over",,   77190,,   34905,,   42285,, 2251655,, 1015655,, 1236000,
"Age characteristics","    65 to 69 years",,   25425,,   12170,,   13255,,  737745,,  352475,,  385270,
"Age characteristics","    70 to 74 years",,   18230,,    8500,,    9725,,  528645,,  250455,,  278185,
"Age characteristics","    75 to 79 years",,   13405,,    6245,,    7160,,  393010,,  179810,,  213195,
"Age characteristics","    80 to 84 years",,    9885,,    4270,,    5615,,  291185,,  126825,,  164360,
"Age characteristics","    85 years and over",,   10240,,    3715,,    6525,,  301075,,  106090,,  194985,
"Age characteristics","      85 to 89 years",,    6520,,    2460,,    4060,,  188470,,   73045,,  115425,
"Age characteristics","      90 to 94 years",,    3030,,    1110,,    1920,,   88390,,   27400,,   60990,
"Age characteristics","      95 to 99 years",,     600,,     140,,     470,,   21210,,    5150,,   16060,
"Age characteristics","      100 years and over",,      90,,      10,,      75,,    3005,,     495,,    2520,
"Age characteristics","Total - Distribution (%) of the population by broad age groups - 100% data",,  100.0,,  100.0,,  100.0,,  100.0,,  100.0,,  100.0,
"Age characteristics","  0 to 14 years",,   17.8,,   18.5,,   17.2,,   16.4,,   17.3,,   15.6,
"Age characteristics","  15 to 64 years",,   67.8,,   68.3,,   67.2,,   66.8,,   67.3,,   66.4,
"Age characteristics","  65 years and over",,   14.4,,   13.2,,   15.6,,   16.7,,   15.5,,   17.9,
"Age characteristics","    85 years and over",,    1.9,,    1.4,,    2.4,,    2.2,,    1.6,,    2.8,
"Age characteristics","Average age of the population",,   39.1,,   38.2,,   40.0,,   41.0,,   40.0,,   41.9,
"Age characteristics","Median age of the population",,   38.5,,   37.4,,   39.6,,   41.3,,   40.2,,   42.4,

Symbols:
...,not applicable

Notes:
1, 2016 and 2011 population
,Statistics Canada is committed to protect the privacy of all Canadians and the confidentiality of the data they provide to us. As part of this commitment  some population counts of geographic areas are adjusted in order to ensure confidentiality.
,The adjustment to counts of the total population for any dissemination block is controlled to ensure that the population counts for dissemination areas will always be within 5 of the actual values. The adjustment has no impact on the population counts of census divisions and large census subdivisions.
2, Total private dwellings
,'Private dwelling' refers to a separate set of living quarters with a private entrance either from outside the building or from a common hall  lobby  vestibule or stairway inside the building. The entrance to the dwelling must be one that can be used without passing through the living quarters of some other person or group of persons.
,For more information  refer to the Census Dictionary: Private dwelling.
3, Private dwellings occupied by usual residents
,'Private dwelling occupied by usual residents' refers to a private dwelling in which a person or a group of persons is permanently residing. Also included are private dwellings whose usual residents are temporarily absent on May 10  2016.
4, Total - Age groups and average age of the population - 100% data
,For data on the population by single years of age  refer to the table titled 'Age (in single years) and average age' in the census data tables.

Data quality:
Waterloo; Regional municipality [Census division]; Ontario
Global non-response rate (GNR)  short-form census questionnaire: 3.6%
Global non-response rate (GNR)  long-form census questionnaire: 4.4%

Ontario [Province]
Excludes census data for one or more incompletely enumerated Indian reserves or Indian settlements.
Global non-response rate (GNR)  short-form census questionnaire: 3.7%
Global non-response rate (GNR)  long-form census questionnaire: 4.6%


"Source: Statistics Canada, 2016 Census of Population."

How to cite: Statistics Canada. 2017. Census Profile. 2016 Census.
Statistics Canada Catalogue no. 98-316-X2016001. Ottawa. Released November 29 2017.
http://www12.statcan.gc.ca/census-recensement/2016/dp-pd/prof/index.cfm?Lang=E
