"Special Interest Profile, 2021 Census of Population"
"Geography: Waterloo (City), Ontario [Census subdivision]"
"Age (16): Total - Age"

"Topic","Characteristic","Note","Total - Gender (1)","Total - Gender_Symb","Men+ (2)","Men+_Symb","Women+ (3)","Women+_Symb",
"Employment income groups in 2020","    $80,000 to $89,999",,  2925,"",  1745,"",  1185,"",
"Employment income groups in 2020","    $90,000 to $99,999",,  2835,"",  1630,"",  1205,"",
"Employment income groups in 2020","    $100,000 and over",, 11360,"",  7855,"",  3500,"",
"Income statistics in 2020","Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data",14,100820,"", 50700,"", 50120,"",
"Income statistics in 2020","  Number of total income recipients aged 15 years and over in private households - 25% sample data",, 95540,"", 47910,"", 47630,"",
"Income statistics in 2020","    Average total income in 2020 among recipients ($)",, 60250,"", 71000,"", 49400,"",
"Income statistics in 2020","    Median total income in 2020 among recipients ($)",, 41200,"", 48000,"", 36800,"",
"Income statistics in 2020","  Number of after-tax income recipients aged 15 years and over in private households - 25% sample data",, 95590,"", 47940,"", 47645,"",
"Income statistics in 2020","    Average after-tax income in 2020 among recipients ($)",, 48840,"", 56050,"", 41640,"",
"Income statistics in 2020","    Median after-tax income in 2020 among recipients ($)",, 37600,"", 42800,"", 34000,"",
"Income statistics in 2020","  Number of employment income recipients aged 15 years and over in private households - 25% sample data",, 72200,"", 38190,"", 34010,"",
"Income statistics in 2020","    Average employment income in 2020 among recipients ($)",, 56700,"", 67400,"", 44640,"",
"Income statistics in 2020","    Median employment income in 2020 among recipients ($)",, 37200,"", 45200,"", 30800,"",
"Income statistics in 2020","  Number of government transfers recipients aged 15 years and over in private households - 25% sample data",, 85150,"", 42120,"", 43030,"",
"Income statistics in 2020","    Average government transfers in 2020 among recipients ($)",,  8610,"",  7530,"",  9670,"",
"Income statistics in 2020","    Median government transfers in 2020 among recipients ($)",,  5520,"",  3440,"",  7000,"",
"Income statistics in 2020","  Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 25% sample data",,  6835,"",  2970,"",  3865,"",
"Income statistics in 2020","    Median employment insurance benefits in 2020 among recipients ($)",,  5480,"",  5360,"",  5560,"",
"Income statistics in 2020","    Average employment insurance benefits in 2020 among recipients ($)",,  6440,"",  5715,"",  6990,"",
"Income statistics in 2020","  Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 25% sample data",, 26515,"", 13295,"", 13225,"",
"Income statistics in 2020","    Median COVID-19 emergency and recovery benefits in 2020 among recipients ($)",,  8000,"",  7500,"",  8000,"",
"Income statistics in 2020","    Average COVID-19 emergency and recovery benefits in 2020 among recipients ($)",,  8470,"",  8380,"",  8560,"",
"Employment income statistics in 2020","Total - Employment income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data",13,100820,"", 50700,"", 50120,"",
"Employment income statistics in 2020","  Number of employment income recipients in 2020 who worked full-year full-time in 2020 - 25% sample data",15, 33330,"", 19500,"", 13830,"",
"Employment income statistics in 2020","    Median employment income in 2020 for full-year full-time workers in 2020 ($)",16, 74500,"", 81000,"", 66000,"",
"Employment income statistics in 2020","    Average employment income in 2020 for full-year full-time workers in 2020 ($)",17, 94000,"",105500,"", 77900,"",
"Employment income statistics in 2020","  Number of employment income recipients in 2020 who worked part-year or part-time in 2020 - 25% sample data",18, 29510,"", 13820,"", 15690,"",
"Employment income statistics in 2020","    Median employment income in 2020 of those who worked part-year or part-time in 2020 ($)",, 16400,"", 17800,"", 15200,"",
"Employment income statistics in 2020","    Average employment income in 2020 of those who worked part-year or part-time in 2020 ($)",, 26800,"", 30560,"", 23540,"",
"Employment income statistics in 2020","Composition of total income in 2020 of the population aged 15 years and over in private households (%) - 25% sample data",19,  100.0,"",  100.0,"",  100.0,"",
"Employment income statistics in 2020","  Market income (%)",20,   87.2,"",   90.6,"",   82.4,"",
"Employment income statistics in 2020","    Employment income (%)",21,   71.0,"",   75.6,"",   64.6,"",
"Employment income statistics in 2020","  Government transfers (%)",22,   12.7,"",    9.3,"",   17.7,"",
"Employment income statistics in 2020","    Employment insurance benefits (%)",23,    0.8,"",    0.5,"",    1.2,"",
"Employment income statistics in 2020","    COVID-19 - Government income support and benefits (%)",24,    4.4,"",    3.6,"",    5.6,"",
"Employment income statistics in 2020","      COVID-19 - Emergency and recovery benefits (%)",25,    3.9,"",    3.3,"",    4.8,"",
"Income statistics in 2019","Total - Income statistics in 2019 for the population aged 15 years and over in private households - 25% sample data",26,100820,"", 50700,"", 50120,"",
"Income statistics in 2019","  Number of total income recipients aged 15 years and over in private households in 2019 - 25% sample data",, 92870,"", 46360,"", 46510,"",
"Income statistics in 2019","    Median total income in 2019 among recipients ($)",, 38800,"", 46000,"", 33600,"",
"Income statistics in 2019","    Average total income in 2019 among recipients ($)",, 57150,"", 68000,"", 46400,"",
"Income statistics in 2019","  Number of after-tax income recipients aged 15 years and over in private households in 2019 - 25% sample data",, 92885,"", 46365,"", 46520,"",
"Income statistics in 2019","    Median after-tax income in 2019 among recipients ($)",, 35200,"", 41200,"", 31200,"",
"Income statistics in 2019","    Average after-tax income in 2019 among recipients ($)",, 46240,"", 53450,"", 39040,"",
"Income statistics in 2019","  Number of employment income recipients aged 15 years and over in private households in 2019 - 25% sample data",, 71160,"", 37385,"", 33775,"",
"Income statistics in 2019","    Median employment income in 2019 among recipients ($)",, 37600,"", 45600,"", 31400,"",
"Income statistics in 2019","    Average employment income in 2019 among recipients ($)",, 55850,"", 66600,"", 43920,"",
"Income statistics in 2019","  Number of government transfers recipients aged 15 years and over in private households in 2019 - 25% sample data",, 79125,"", 39140,"", 39985,"",
"Income statistics in 2019","    Median government transfers in 2019 among recipients ($)",,  1040,"",   760,"",  1980,"",
"Income statistics in 2019","    Average government transfers in 2019 among recipients ($)",,  5625,"",  4536,"",  6690,"",
"Income statistics in 2019","  Number of employment insurance benefits recipients aged 15 years and over in private households in 2019 - 25% sample data",,  4565,"",  1890,"",  2680,"",
"Income statistics in 2019","    Median employment insurance benefits in 2019 among recipients ($)",,  5840,"",  4560,"",  7200,"",
"Income statistics in 2019","    Average employment insurance benefits in 2019 among recipients ($)",,  7770,"",  6185,"",  8880,"",
"Employment income statistics in 2019","Total - Employment income statistics in 2019 for the population aged 15 years and over in private households - 25% sample data",27,100820,"", 50700,"", 50120,"",
"Employment income statistics in 2019","  Number of employment income recipients in 2019 who worked full-year full-time in 2020 - 25% sample data",15, 32950,"", 19265,"", 13685,"",
"Employment income statistics in 2019","    Median employment income in 2019 for full-year full-time workers in 2020 ($)",16, 69500,"", 76500,"", 61200,"",
"Employment income statistics in 2019","    Average employment income in 2019 for full-year full-time workers in 2020 ($)",28, 86800,"", 97800,"", 71500,"",
"Employment income statistics in 2019","  Number of employment income recipients in 2019 who worked part-year or part-time in 2020 - 25% sample data",29, 27015,"", 12565,"", 14450,"",
"Employment income statistics in 2019","    Median employment income in 2019 of those who worked part-year or part-time in 2020 ($)",, 19400,"", 21800,"", 18200,"",
"Employment income statistics in 2019","    Average employment income in 2019 of those who worked part-year or part-time in 2020 ($)",, 31920,"", 36960,"", 27560,"",
"Employment income statistics in 2019","Composition of total income in 2019 of the population aged 15 years and over in private households (%) - 25% sample data",30,  100.0,"",  100.0,"",  100.0,"",
"Employment income statistics in 2019","  Market income (%)",,   91.6,"",   94.4,"",   87.6,"",
"Employment income statistics in 2019","    Employment income (%)",,   74.8,"",   79.0,"",   68.8,"",
"Employment income statistics in 2019","  Government transfers (%)",,    8.4,"",    5.6,"",   12.4,"",
"Employment income statistics in 2019","    Employment insurance benefits (%)",,    0.7,"",    0.4,"",    1.1,"",
"Adjusted after-tax economic family income decile group in 2020","Total - Adjusted after-tax economic family income decile group in 2020 for the population in private households - 25% sample data",31,118390,"", 59830,"", 58560,"",
"Adjusted after-tax economic family income decile group in 2020","  In the bottom half of the distribution",, 52570,"", 26480,"", 26090,"",
"Adjusted after-tax economic family income decile group in 2020","    In the bottom decile",, 15180,"",  8090,"",  7090,"",
"Adjusted after-tax economic family income decile group in 2020","    In the second decile",,  9750,"",  4770,"",  4985,"",
"Adjusted after-tax economic family income decile group in 2020","    In the third decile",,  9110,"",  4460,"",  4645,"",
"Adjusted after-tax economic family income decile group in 2020","    In the fourth decile",,  8925,"",  4400,"",  4530,"",
"Adjusted after-tax economic family income decile group in 2020","    In the fifth decile",,  9600,"",  4760,"",  4840,"",
"Adjusted after-tax economic family income decile group in 2020","  In the top half of the distribution",, 65815,"", 33355,"", 32465,"",
"Adjusted after-tax economic family income decile group in 2020","    In the sixth decile",, 10155,"",  5130,"",  5030,"",
"Adjusted after-tax economic family income decile group in 2020","    In the seventh decile",, 11885,"",  6030,"",  5850,"",
"Adjusted after-tax economic family income decile group in 2020","    In the eighth decile",, 12250,"",  6125,"",  6125,"",
"Adjusted after-tax economic family income decile group in 2020","    In the ninth decile",, 13305,"",  6750,"",  6560,"",
"Adjusted after-tax economic family income decile group in 2020","    In the top decile",, 18220,"",  9320,"",  8905,"",
"MBM poverty status in 2020","Total - MBM poverty status in 2020 for the population in private households to whom the low-income concept is applicable - 25% sample data",32,118390,"", 59830,"", 58560,"",
"MBM poverty status in 2020","  In poverty based on the Market Basket Measure (MBM)",, 14125,"",  7625,"",  6500,"",
"MBM poverty status in 2020","  Poverty rate based on the Market Basket Measure (MBM) (%)",33,   11.9,"",   12.7,"",   11.1,"",
"LIM low-income status in 2020","Total - LIM low-income status in 2020 for the population in private households - 25% sample data",34,118390,"", 59830,"", 58560,"",
"LIM low-income status in 2020","  In low income based on the Low-income measure, after tax (LIM-AT)",, 13480,"",  6835,"",  6645,"",
"LIM low-income status in 2020","  Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)",,   11.4,"",   11.4,"",   11.4,"",


Notes:
1,"""Gender"" refers to an individual's personal and social identity as a man, woman or non-binary person (a person who is not exclusively a man or a woman)."
,"Gender includes the following concepts:"
,"* gender identity, which refers to the gender that a person feels internally and individually;"
,"* gender expression, which refers to the way a person presents their gender, regardless of their gender identity, through body language, aesthetic choices or accessories (e.g., clothes, hairstyle and makeup), which may have traditionally been associated with a specific gender."
,"A person's gender may differ from their sex at birth, and from what is indicated on their current identification or legal documents such as their birth certificate, passport or driver's licence. A person's gender may change over time."
,"Some people may not identify with a specific gender."
,"Given that the non-binary population is small, data aggregation to a two-category gender variable is sometimes necessary to protect the confidentiality of responses provided. In these cases, individuals in the category ""non-binary persons"" are distributed into the other two gender categories and are denoted by the ""+"" symbol."
2,"This category includes men (and/or boys), as well as some non-binary persons."
3,"This category includes women (and/or girls), as well as some non-binary persons."
11,"Total income - The sum of certain incomes (in cash and, in some circumstances, in kind) of the statistical unit during a specified reference period. The components used to calculate total income vary between:"
,"* statistical units of social statistical programs such as persons, private households, census families and economic families;"
,"* statistical units of business statistical programs such as enterprises, companies, establishments and locations;"
,"* statistical units of farm statistical programs such as farm operator and farm family."
,"In the context of persons, total income refers to receipts from certain sources, before income taxes and deductions, during a specified reference period."
,"In the context of census families, total income refers to receipts from certain sources of all of its family members, before income taxes and deductions, during a specified reference period."
,"In the context of economic families, total income refers to receipts from certain sources of all of its family members, before income taxes and deductions, during a specified reference period."
,"In the context of households, total income refers to receipts from certain sources of all household members, before income taxes and deductions, during a specified reference period."
,"The monetary receipts included are those that tend to be of a regular and recurring nature. Receipts that are included as income are:"
,"* employment income from wages, salaries, tips, commissions and net income from self-employment (for both unincorporated farm and non-farm activities);"
,"* income from investment sources, such as dividends and interest on bonds, accounts, guaranteed investment certificates (GICs) and mutual funds;"
,"* income from employer and personal pension sources, such as private pensions and payments from annuities and registered retirement income funds (RRIFs);"
,"* other regular cash income, such as child support payments received, spousal support payments (alimony) received and scholarships;"
,"* income from government sources, such as social assistance, child benefits, Employment Insurance benefits, Old Age Security benefits, COVID-19 benefits and Canada Pension Plan and Québec Pension Plan benefits and disability income."
,"Receipts excluded from this income definition are:"
,"* one-time receipts, such as lottery winnings, gambling winnings, cash inheritances, lump-sum insurance settlements and tax-free savings account (TFSA) or registered retirement savings plan (RRSP) withdrawals;"
,"* capital gains because they are not by their nature regular and recurring. It is further assumed that they are more relevant to the concept of wealth than the concept of income;"
,"* employers' contributions to registered pension plans, Canada Pension Plan, Québec Pension Plan and Employment Insurance;"
,"* voluntary inter-household transfers, imputed rent, goods and services produced for barter and goods produced for own consumption."
,"For the 2021 Census, the reference period for income data is the calendar year 2020, unless otherwise specified."
12,"After-tax income - After-tax income refers to total income less income taxes of the statistical unit during a specified reference period. Income taxes refers to the sum of federal income taxes, provincial and territorial income taxes, less abatement where applicable. Provincial and territorial income taxes include health care premiums in certain jurisdictions. Abatement reduces the federal income taxes payable by persons residing in Quebec or in certain self-governing Yukon First Nation settlement lands."
,"For the 2021 Census, the reference period for income data is the calendar year 2020, unless otherwise specified."
13,"Employment income - All income received as wages, salaries and commissions from paid employment and net self-employment income from farm or non-farm unincorporated business and/or professional practice during the reference period. For the 2021 Census, the reference period for income data is the calendar year 2020, unless otherwise specified."
14,"Total income - The sum of certain incomes (in cash and, in some circumstances, in kind) of the statistical unit during a specified reference period. The components used to calculate total income vary between:"
,"* statistical units of social statistical programs such as persons, private households, census families and economic families;"
,"* statistical units of business statistical programs such as enterprises, companies, establishments and locations;"
,"* statistical units of farm statistical programs such as farm operator and farm family."
,"In the context of persons, total income refers to receipts from certain sources, before income taxes and deductions, during a specified reference period."
,"In the context of census families, total income refers to receipts from certain sources of all of its family members, before income taxes and deductions, during a specified reference period."
,"In the context of economic families, total income refers to receipts from certain sources of all of its family members, before income taxes and deductions, during a specified reference period."
,"In the context of households, total income refers to receipts from certain sources of all household members, before income taxes and deductions, during a specified reference period."
,"The monetary receipts included are those that tend to be of a regular and recurring nature. Receipts that are included as income are:"
,"* employment income from wages, salaries, tips, commissions and net income from self-employment (for both unincorporated farm and non-farm activities);"
,"* income from investment sources, such as dividends and interest on bonds, accounts, guaranteed investment certificates (GICs) and mutual funds;"
,"* income from employer and personal pension sources, such as private pensions and payments from annuities and registered retirement income funds (RRIFs);"
,"* other regular cash income, such as child support payments received, spousal support payments (alimony) received and scholarships;"
,"* income from government sources, such as social assistance, child benefits, Employment Insurance benefits, Old Age Security benefits, COVID-19 benefits and Canada Pension Plan and Québec Pension Plan benefits and disability income."
,"Receipts excluded from this income definition are:"
,"* one-time receipts, such as lottery winnings, gambling winnings, cash inheritances, lump-sum insurance settlements and tax-free savings account (TFSA) or registered retirement savings plan (RRSP) withdrawals;"
,"* capital gains because they are not by their nature regular and recurring. It is further assumed that they are more relevant to the concept of wealth than the concept of income;"
,"* employers' contributions to registered pension plans, Canada Pension Plan, Québec Pension Plan and Employment Insurance;"
,"* voluntary inter-household transfers, imputed rent, goods and services produced for barter and goods produced for own consumption."
,"After-tax income - Total income less income taxes of the statistical unit during a specified reference period. Income taxes refers to the sum of federal income taxes, provincial and territorial income taxes, less abatement where applicable. Provincial and territorial income taxes include health care premiums in certain jurisdictions. Abatement reduces the federal income taxes payable by persons residing in Quebec or in certain self-governing Yukon First Nation settlement lands."
,"Government transfers - All cash benefits received from federal, provincial, territorial or municipal governments during the reference period. It includes:"
,"* Old Age Security pension, Guaranteed Income Supplement, Allowance or Allowance for the Survivor;"
,"* retirement, disability and survivor benefits from Canada Pension Plan and Québec Pension Plan;"
,"* benefits from Employment Insurance and Québec parental insurance plan;"
,"* child benefits from federal and provincial programs;"
,"* social assistance benefits;"
,"* workers' compensation benefits;"
,"* Canada workers benefit (CWB);"
,"* Goods and services tax credit and harmonized sales tax credit;"
,"* other income from government sources."
,"For the 2021 Census, this includes various benefits from new and existing federal, provincial and territorial government income programs intended to provide financial support to individuals affected by the COVID-19 pandemic and the public health measures implemented to minimize the spread of the virus."
,"Employment income - All income received as wages, salaries and commissions from paid employment and net self-employment income from farm or non-farm unincorporated business and/or professional practice during the reference period."
,"All Employment Insurance (EI) benefits received during the reference period, before income tax deductions. It includes benefits for unemployment, sickness, maternity, paternity, adoption, compassionate care, work sharing, retraining, and benefits to self-employed fishers received under the federal EI Program or the Québec parental insurance plan. For the 2021 Census, this includes enhancements to the EI benefits in 2020 in response to the COVID-19 pandemic."
,"COVID-19 – Emergency and Recovery Benefits refers to the benefits from all federal programs intended to provide financial support to individuals affected by the COVID-19 pandemic and the public health measures implemented to minimize the spread of the virus. It includes:"
,"*the Canada Emergency Response Benefit (CERB);"
,"*the Canada Recovery Benefit (CRB);"
,"*the Canada Recovery Caregiving Benefit (CRCB);"
,"*the Canada Recovery Sickness Benefit (CRSB);"
,"*the Canada Emergency Student Benefit (CESB)."
,"For the 2021 Census, the reference period for income data is the calendar year 2020, unless otherwise specified."
,"Median income - The median income of a specified group is the amount that divides the income distribution of that group into two halves, i.e., the incomes of half of the units in that group are below the median, while those of the other half are above the median. Median incomes of individuals are calculated for those with income (positive or negative)."
,"Average income - Average income of a specified group is calculated by dividing the aggregate income of that group by the number of units in that group. Average incomes of individuals are calculated for those with income (positive or negative)."
15,"Full-year full-time workers - Persons aged 15 years and over who worked mostly full time (30 hours or more per week) and full year (49 weeks and over per year) in 2020. For more information, see variable work activity in 2020, Dictionary, Census of Population, 2021."
16,"Median income - The median income of a specified group is the amount that divides the income distribution of that group into two halves, i.e., the incomes of half of the units in that group are below the median, while those of the other half are above the median. Median incomes of individuals are calculated for those with income (positive or negative)."
17,"Average income - Average income of a specified group is calculated by dividing the aggregate income of that group by the number of units in that group. Average incomes of individuals are calculated for those with income (positive or negative)."
18,"Part-year or part-time workers - Persons aged 15 years and over who worked mostly part time (less than 30 hours per week) or 48 weeks or less during 2020. For more information, see variable work activity in 2020, Dictionary, Census of Population, 2021."
19,"Composition of total income - The composition of the total income of a population group or a geographic area refers to the relative share of each income source or group of sources, expressed as a percentage of the aggregate total income of that group or area."
,"For the 2021 Census, the reference period for income data is the calendar year 2020, unless otherwise specified."
20,"Market income - The sum of employment income (wages, salaries and commissions, net self-employment income from farm or non-farm unincorporated business and/or professional practice), investment income, private retirement income (retirement pensions, superannuation and annuities, including those from registered retirement savings plans [RRSPs] and registered retirement income funds [RRIFs]) and other money income from market sources during the reference period. It is equivalent to total income minus government transfers. It is also referred to as income before transfers and taxes."
,"For the 2021 Census, the reference period for income data is the calendar year 2020, unless otherwise specified."
21,"Employment income - All income received as wages, salaries and commissions from paid employment and net self-employment income from farm or non-farm unincorporated business and/or professional practice during the reference period."
,"For the 2021 Census, the reference period for income data is the calendar year 2020, unless otherwise specified."
22,"Government transfers - All cash benefits received from federal, provincial, territorial or municipal governments during the reference period. It includes:"
,"* Old Age Security pension, Guaranteed Income Supplement, Allowance or Allowance for the Survivor;"
,"* retirement, disability and survivor benefits from Canada Pension Plan and Québec Pension Plan;"
,"* benefits from Employment Insurance and Québec parental insurance plan;"
,"* child benefits from federal and provincial programs;"
,"* social assistance benefits;"
,"* workers' compensation benefits;"
,"* Canada workers benefit (CWB);"
,"* Goods and services tax credit and harmonized sales tax credit;"
,"* other income from government sources."
,"For the 2021 Census, this includes various benefits from new and existing federal, provincial and territorial government income programs intended to provide financial support to individuals affected by the COVID-19 pandemic and the public health measures implemented to minimize the spread of the virus."
,"For the 2021 Census, the reference period for income data is the calendar year 2020, unless otherwise specified."
23,"All Employment Insurance (EI) benefits received during the reference period, before income tax deductions. It includes benefits for unemployment, sickness, maternity, paternity, adoption, compassionate care, work sharing, retraining, and benefits to self-employed fishers received under the federal EI Program or the Québec parental insurance plan. For the 2021 Census, this includes enhancements to the EI benefits in 2020 in response to the COVID-19 pandemic."
,"For the 2021 Census, the reference period for income data is the calendar year 2020, unless otherwise specified."
24,"COVID-19 – Government income support and benefits refers to the sum of benefits from various new and existing federal, provincial, and territorial programs intended to provide financial support to individuals affected by the COVID-19 pandemic and the public health measures implemented to minimize the spread of the virus."
25,"COVID-19 – Emergency and Recovery Benefits refers to the benefits from all federal programs intended to provide financial support to individuals affected by the COVID-19 pandemic and the public health measures implemented to minimize the spread of the virus. It includes:"
,"*the Canada Emergency Response Benefit (CERB);"
,"*the Canada Recovery Benefit (CRB);"
,"*the Canada Recovery Caregiving Benefit (CRCB);"
,"*the Canada Recovery Sickness Benefit (CRSB);"
,"*the Canada Emergency Student Benefit (CESB)."
26,"Total income - The sum of certain incomes (in cash and, in some circumstances, in kind) of the statistical unit during a specified reference period. The components used to calculate total income vary between:"
,"* statistical units of social statistical programs such as persons, private households, census families and economic families;"
,"* statistical units of business statistical programs such as enterprises, companies, establishments and locations;"
,"* statistical units of farm statistical programs such as farm operator and farm family."
,"In the context of persons, total income refers to receipts from certain sources, before income taxes and deductions, during a specified reference period."
,"In the context of census families, total income refers to receipts from certain sources of all of its family members, before income taxes and deductions, during a specified reference period."
,""
,"In the context of economic families, total income refers to receipts from certain sources of all of its family members, before income taxes and deductions, during a specified reference period."
,"In the context of households, total income refers to receipts from certain sources of all household members, before income taxes and deductions, during a specified reference period."
,"The monetary receipts included are those that tend to be of a regular and recurring nature. Receipts that are included as income are:"
,"* employment income from wages, salaries, tips, commissions and net income from self-employment (for both unincorporated farm and non-farm activities);"
,"* income from investment sources, such as dividends and interest on bonds, accounts, guaranteed investment certificates (GICs) and mutual funds;"
,"* income from employer and personal pension sources, such as private pensions and payments from annuities and registered retirement income funds (RRIFs);"
,"* other regular cash income, such as child support payments received, spousal support payments (alimony) received and scholarships;"
,"* income from government sources, such as social assistance, child benefits, Employment Insurance benefits, Old Age Security benefits, Canada Pension Plan and Québec Pension Plan benefits and disability income."
,"Receipts excluded from this income definition are:"
,"* one-time receipts, such as lottery winnings, gambling winnings, cash inheritances, lump-sum insurance settlements and tax-free savings account (TFSA) or registered retirement savings plan (RRSP) withdrawals;"
,"* capital gains because they are not by their nature regular and recurring. It is further assumed that they are more relevant to the concept of wealth than the concept of income;"
,"* employers' contributions to registered pension plans, Canada Pension Plan, Québec Pension Plan and Employment Insurance;"
,"* voluntary inter-household transfers, imputed rent, goods and services produced for barter and goods produced for own consumption."
,"After-tax income - Total income less income taxes of the statistical unit during a specified reference period. Income taxes refers to the sum of federal income taxes, provincial and territorial income taxes, less abatement where applicable. Provincial and territorial income taxes include health care premiums in certain jurisdictions. Abatement reduces the federal income taxes payable by persons residing in Quebec or in certain self-governing Yukon First Nation settlement lands."
,"Employment income - All income received as wages, salaries and commissions from paid employment and net self-employment income from farm or non-farm unincorporated business and/or professional practice during the reference period."
,"Government transfers - All cash benefits received from federal, provincial, territorial or municipal governments during the reference period. It includes:"
,"* Old Age Security pension, Guaranteed Income Supplement, Allowance or Allowance for the Survivor;"
,"* retirement, disability and survivor benefits from Canada Pension Plan and Québec Pension Plan;"
,"* benefits from Employment Insurance and Québec parental insurance plan;"
,"* child benefits from federal and provincial programs;"
,"* social assistance benefits;"
,"* workers' compensation benefits;"
,"* Canada workers benefit (CWB);"
,"* Goods and services tax credit and harmonized sales tax credit;"
,"* other income from government sources."
,"Employment Insurance (EI) benefits - All Employment Insurance (EI) benefits received during the reference period, before income tax deductions. It includes benefits for unemployment, sickness, maternity, paternity, adoption, compassionate care, work sharing, retraining, and benefits to self-employed fishers received under the federal EI Program or the Québec parental insurance plan."
,"The reference period for these variables is calendar year 2019. These variables are intended for comparison with their 2020 equivalent and other 2019 income variables. Income for 2019 is presented in 2020 constant dollars."
,"Median income - The median income of a specified group is the amount that divides the income distribution of that group into two halves, i.e., the incomes of half of the units in that group are below the median, while those of the other half are above the median. Median incomes of individuals are calculated for those with income (positive or negative)."
,"Average income - Average income of a specified group is calculated by dividing the aggregate income of that group by the number of units in that group. Average incomes of individuals are calculated for those with income (positive or negative)."
27,"Employment income - All income received as wages, salaries and commissions from paid employment and net self-employment income from farm or non-farm unincorporated business and/or professional practice during the reference period. The reference period for this variable is calendar year 2019. The variable is intended for comparison with its 2020 equivalent and other 2019 income variables. Income for 2019 is presented in 2020 constant dollars."
28,"Average income - Average income of a specified group is calculated by dividing the aggregate income of that group by the number of units in that group. Average incomes of individuals are calculated for those with income (positive or negative)."
29,"Part-year or part-time workers - Persons aged 15 years and over who worked mostly part time (less than 30 hours per week) or 48 weeks or less during 2020. For more information, see variable work activity in 2020, Dictionary, Census of Population, 2021."
