Topic,Characteristic,Total - Gender (1),Men+ (2),Women+ (3)
Occupation - Major group - National Occupational Classification (NOC) 2021,"    75 Helpers and labourers and other transport drivers, operators and labourers",1905,1665,240
Occupation - Major group - National Occupational Classification (NOC) 2021,"  8 Natural resources, agriculture and related production occupations",825,625,195
Occupation - Major group - National Occupational Classification (NOC) 2021,    80 Middle management occupations in production and agriculture,55,45,10
Occupation - Major group - National Occupational Classification (NOC) 2021,"    82 Supervisors in natural resources, agriculture and related production",100,80,20
Occupation - Major group - National Occupational Classification (NOC) 2021,    83 Occupations in natural resources and related production,20,20,0
Occupation - Major group - National Occupational Classification (NOC) 2021,"    84 Workers in natural resources, agriculture and related production",70,50,25
Occupation - Major group - National Occupational Classification (NOC) 2021,"    85 Harvesting, landscaping and natural resources labourers",580,435,145
Occupation - Major group - National Occupational Classification (NOC) 2021,  9 Occupations in manufacturing and utilities,3925,2575,1350
Occupation - Major group - National Occupational Classification (NOC) 2021,    90 Middle management occupations in manufacturing and utilities,410,315,95
Occupation - Major group - National Occupational Classification (NOC) 2021,"    92 Processing, manufacturing and utilities supervisors and utilities operators and controllers",390,300,95
Occupation - Major group - National Occupational Classification (NOC) 2021,    93 Central control and process operators and aircraft assembly assemblers and inspectors,20,15,0
Occupation - Major group - National Occupational Classification (NOC) 2021,"    94 Machine operators, assemblers and inspectors in processing, manufacturing and printing",2020,1365,655
Occupation - Major group - National Occupational Classification (NOC) 2021,"    95 Labourers in processing, manufacturing and utilities",1085,585,500
Industry - Sectors - North American Industry Classification System (NAICS) 2017,  Industry - not applicable,1925,925,1000
Industry - Sectors - North American Industry Classification System (NAICS) 2017,  All industries,64030,34605,29425
Industry - Sectors - North American Industry Classification System (NAICS) 2017,"    11 Agriculture, forestry, fishing and hunting",375,230,145
Industry - Sectors - North American Industry Classification System (NAICS) 2017,"    21 Mining, quarrying, and oil and gas extraction",65,45,10
Industry - Sectors - North American Industry Classification System (NAICS) 2017,    22 Utilities,285,225,65
Industry - Sectors - North American Industry Classification System (NAICS) 2017,    23 Construction,3185,2625,555
Industry - Sectors - North American Industry Classification System (NAICS) 2017,    31-33 Manufacturing,6825,4840,1985
Industry - Sectors - North American Industry Classification System (NAICS) 2017,    41 Wholesale trade,1900,1285,615
Industry - Sectors - North American Industry Classification System (NAICS) 2017,    44-45 Retail trade,6510,3355,3155
Industry - Sectors - North American Industry Classification System (NAICS) 2017,    48-49 Transportation and warehousing,1915,1480,435
Industry - Sectors - North American Industry Classification System (NAICS) 2017,    51 Information and cultural industries,2565,1575,990
Industry - Sectors - North American Industry Classification System (NAICS) 2017,    52 Finance and insurance,5050,2265,2795
Industry - Sectors - North American Industry Classification System (NAICS) 2017,    53 Real estate and rental and leasing,1065,585,475
Industry - Sectors - North American Industry Classification System (NAICS) 2017,"    54 Professional, scientific and technical services",8945,5760,3185
Industry - Sectors - North American Industry Classification System (NAICS) 2017,    55 Management of companies and enterprises,345,170,175
Industry - Sectors - North American Industry Classification System (NAICS) 2017,"    56 Administrative and support, waste management and remediation services",2390,1400,990
Industry - Sectors - North American Industry Classification System (NAICS) 2017,    61 Educational services,8775,3615,5160
Industry - Sectors - North American Industry Classification System (NAICS) 2017,    62 Health care and social assistance,5665,1295,4375
Industry - Sectors - North American Industry Classification System (NAICS) 2017,"    71 Arts, entertainment and recreation",940,455,485
Industry - Sectors - North American Industry Classification System (NAICS) 2017,    72 Accommodation and food services,3425,1625,1800
Industry - Sectors - North American Industry Classification System (NAICS) 2017,    81 Other services (except public administration),1920,850,1070
Industry - Sectors - North American Industry Classification System (NAICS) 2017,    91 Public administration,1900,940,960
Place of work status,  Worked at home,23380,12230,11150
Place of work status,  Worked outside Canada,325,220,100
Place of work status,  No fixed workplace address,4275,3090,1185
Place of work status,  Usual place of work,30065,16315,13750
